file,loc,noc,bf,bug,buggy
internal::compiler::ast::JavadocSingleTypeReference ,66,39,26,0,N
internal::core::builder::BatchImageBuilder ,269,93,28,1,Y
internal::compiler::parser::AbstractCommentParser ,1399,104,81,7,Y
internal::core::ResolvedBinaryField ,23,5,1,0,N
internal::core::index::Index ,134,45,18,1,Y
internal::core::ExternalFoldersManager ,192,7,4,3,Y
core::dom::BooleanLiteral ,52,27,5,0,N
internal::core::util::Disassembler ,629,131,33,1,Y
internal::core::util::DOMFinder ,28,5,3,0,N
internal::compiler::lookup::VariableBinding ,35,40,3,0,N
internal::core::util::CodeSnippetParsingUtil ,152,23,13,0,N
internal::core::search::indexing::ReadWriteMonitor ,52,26,0,0,N
internal::core::JavaProject ,1607,468,128,4,Y
internal::compiler::flow::ExceptionHandlingFlowContext ,139,55,11,2,Y
internal::core::search::matching::TypeReferenceLocator ,343,83,40,2,Y
internal::core::JavaModelStatus ,286,54,15,0,N
core::dom::CatchClause ,107,38,8,0,N
internal::compiler::ast::JavadocArraySingleTypeReference ,14,15,6,0,N
internal::core::CreateMethodOperation ,64,39,9,0,N
internal::core::Buffer ,275,72,14,0,N
internal::core::search::matching::TypeParameterLocator ,57,1,1,1,Y
internal::compiler::batch::ClasspathLocation ,15,13,7,0,N
internal::core::MemberValuePair ,26,0,1,0,N
core::dom::ConstructorInvocation ,76,34,7,0,N
internal::formatter::comment::CommentRegion ,269,6,4,0,N
internal::compiler::util::HashtableOfObjectToIntArray ,117,2,1,0,N
internal::core::search::indexing::RemoveFolderFromIndex ,49,40,6,0,N
internal::codeassist::SelectionEngine ,1189,175,56,1,Y
internal::compiler::lookup::ImportBinding ,21,31,1,0,N
core::compiler::BuildContext ,56,5,3,0,N
internal::core::search::matching::PackageDeclarationLocator ,11,6,0,0,N
internal::compiler::codegen::ExceptionLabel ,58,24,6,1,Y
internal::eval::CodeSnippetFieldReference ,336,55,6,0,N
internal::compiler::lookup::ElementValuePair ,28,8,5,0,N
internal::core::JarPackageFragmentInfo ,3,19,1,0,N
internal::core::CancelableNameEnvironment ,23,9,6,1,Y
internal::compiler::parser::RecoveredElement ,172,42,3,0,N
internal::core::UserLibraryClasspathContainer ,35,11,3,0,N
internal::compiler::problem::DefaultProblemFactory ,126,61,19,0,N
core::search::TypeReferenceMatch ,16,30,6,2,Y
internal::compiler::ast::JavadocMessageSend ,174,48,28,0,N
internal::compiler::lookup::BaseTypeBinding ,163,34,2,0,N
core::dom::WildcardType ,80,28,4,0,N
internal::core::util::RuntimeInvisibleParameterAnnotationsAttribute ,22,5,0,0,N
internal::core::UserLibraryClasspathContainerInitializer ,52,14,3,0,N
core::dom::AST ,804,209,66,0,N
internal::codeassist::UnresolvedReferenceNameFinder ,321,10,7,0,N
internal::codeassist::complete::CompletionOnAnnotationOfType ,10,4,3,0,N
internal::core::util::HashSetOfCharArrayArray ,118,0,1,0,N
internal::compiler::ast::LongLiteral ,128,33,5,0,N
internal::compiler::util::HashtableOfType ,79,30,1,0,N
internal::compiler::ast::ClassLiteralAccess ,72,72,9,0,N
core::dom::NumberLiteral ,97,44,7,0,N
internal::core::util::CharArrayBuffer ,35,21,1,0,N
internal::formatter::OptimizedReplaceEdit ,8,5,1,0,N
internal::core::JavaCorePreferenceModifyListener ,29,1,1,0,N
internal::core::search::matching::FieldPattern ,63,40,11,1,Y
internal::core::builder::NameSet ,41,9,1,0,N
internal::core::ExternalJavaProject ,29,5,4,0,N
core::search::SearchEngine ,54,182,41,0,N
internal::compiler::ConfigurableOption ,117,40,4,0,N
internal::compiler::lookup::SyntheticFieldBinding ,5,16,1,0,N
internal::compiler::impl::BooleanConstant ,19,40,5,0,N
internal::core::util::HashtableOfArrayToObject ,144,5,1,0,N
internal::core::InitializerElementInfo ,0,15,0,0,N
core::dom::CastExpression ,106,35,8,0,N
internal::core::ModelUpdater ,157,23,7,0,N
internal::core::util::ConstantPoolEntry ,169,9,1,0,N
core::dom::AnnotationBinding ,190,9,11,2,Y
internal::core::ResolvedBinaryMethod ,23,5,1,0,N
internal::core::search::matching::PossibleMatchSet ,37,10,1,0,N
internal::codeassist::impl::AssistSourceType ,59,2,3,0,N
internal::compiler::ast::JavadocArrayQualifiedTypeReference ,13,15,6,0,N
internal::compiler::ast::TypeParameter ,60,18,5,0,N
internal::codeassist::complete::CompletionOnMarkerAnnotationName ,15,5,1,0,N
internal::compiler::parser::RecoveredImport ,26,28,0,0,N
internal::core::builder::BuildNotifier ,189,36,8,0,N
internal::formatter::comment::CommentFormatterUtil ,55,3,2,0,N
internal::compiler::flow::NullInfoRegistry ,312,5,4,0,N
internal::compiler::ast::Reference ,42,36,3,1,Y
internal::core::CreateTypeMemberOperation ,126,49,8,1,Y
internal::core::util::RuntimeVisibleAnnotationsAttribute ,22,6,0,0,N
internal::core::util::WeakHashSet ,143,6,1,0,N
core::JavaConventions ,219,140,24,1,Y
internal::compiler::impl::StringConstant ,27,29,0,0,N
internal::compiler::lookup::Binding ,18,41,7,0,N
core::dom::DoStatement ,106,41,10,0,N
internal::compiler::util::GenericXMLWriter ,99,4,3,0,N
internal::core::Region ,89,31,2,0,N
internal::codeassist::impl::AssistCompilationUnit ,21,0,1,0,N
internal::core::BatchOperation ,28,13,1,0,N
internal::core::JarPackageFragmentRoot ,185,85,19,0,N
internal::codeassist::CompletionEngine ,7341,412,205,7,Y
internal::compiler::ast::TryStatement ,784,138,31,3,Y
internal::compiler::lookup::ParameterizedGenericMethodBinding ,412,89,44,0,N
core::dom::Javadoc ,108,50,8,0,N
internal::core::ElementCache ,36,21,4,0,N
internal::compiler::lookup::ReferenceBinding ,840,180,50,1,Y
core::dom::InfixExpression ,158,41,11,0,N
internal::codeassist::complete::CompletionOnJavadocAllocationExpression ,56,5,4,0,N
internal::compiler::util::HashtableOfInt ,71,27,0,0,N
internal::compiler::env::ClassSignature ,12,1,0,0,N
internal::formatter::CodeFormatterVisitor ,1248,251,132,2,Y
internal::core::util::ParameterAnnotation ,25,8,1,0,N
internal::compiler::ast::LabeledStatement ,92,57,8,0,N
core::dom::NormalAnnotation ,67,22,4,0,N
core::dom::BlockComment ,31,20,3,0,N
internal::core::util::SimpleWordSet ,43,8,1,0,N
internal::compiler::ast::AnnotationMethodDeclaration ,128,20,2,0,N
core::search::ReferenceMatch ,10,0,1,1,Y
internal::codeassist::impl::AssistSourceField ,41,1,2,0,N
core::dom::DefaultASTVisitor ,15,8,7,0,N
internal::core::JavaElementDeltaBuilder ,354,47,8,0,N
internal::core::ClassFileWorkingCopy ,68,64,7,0,N
internal::compiler::ast::AllocationExpression ,337,95,20,1,Y
internal::compiler::SourceElementNotifier ,299,1,2,0,N
core::dom::ASTVisitor ,15,34,5,0,N
internal::core::util::BindingKeyParser ,423,39,24,0,N
core::dom::Modifier ,96,35,6,0,N
internal::core::dom::rewrite::RewriteEvent ,0,6,0,0,N
internal::core::util::MethodInfo ,123,23,3,0,N
internal::core::builder::AbstractImageBuilder ,639,149,41,2,Y
internal::compiler::ast::NullLiteral ,32,26,7,0,N
internal::compiler::flow::InsideSubRoutineFlowContext ,27,26,6,0,N
internal::compiler::util::ObjectVector ,78,34,3,0,N
core::dom::AnonymousClassDeclaration ,53,26,7,0,N
internal::compiler::ast::QualifiedTypeReference ,105,69,16,0,N
internal::compiler::ast::OR_OR_Expression ,226,49,12,0,N
internal::core::util::SourceFileAttribute ,15,12,0,0,N
core::dom::Expression ,15,13,2,0,N
internal::compiler::util::Messages ,80,17,7,0,N
internal::core::CopyElementsOperation ,124,56,8,0,N
internal::compiler::ast::SynchronizedStatement ,158,65,17,0,N
internal::core::RenameElementsOperation ,28,30,3,0,N
internal::core::jdom::DOMImport ,62,38,4,0,N
internal::compiler::ast::SingleTypeReference ,63,45,4,0,N
internal::codeassist::InternalCompletionProposal ,127,11,5,1,Y
internal::compiler::ast::UnaryExpression ,253,62,10,0,N
core::dom::ASTRecoveryPropagator ,261,8,7,0,N
core::Flags ,95,47,2,0,N
internal::core::CreatePackageDeclarationOperation ,57,39,8,0,N
internal::compiler::problem::AbortMethod ,3,17,3,0,N
internal::core::JavaElementDelta ,485,68,14,0,N
core::dom::WhileStatement ,106,39,9,0,N
core::dom::InstanceofExpression ,106,34,8,0,N
internal::compiler::impl::CharConstant ,38,33,1,0,N
internal::compiler::lookup::LocalTypeBinding ,186,61,11,0,N
internal::compiler::impl::CompilerOptions ,974,232,76,1,Y
internal::core::eval::RequestorWrapper ,36,23,4,0,N
internal::compiler::parser::ScannerHelper ,136,21,2,0,N
internal::core::search::matching::MultiTypeDeclarationPattern ,146,14,10,1,Y
internal::core::SelectionRequestor ,781,89,26,0,N
core::dom::FieldDeclaration ,136,58,13,0,N
internal::eval::GlobalVariable ,26,25,0,0,N
core::dom::MemberValuePairBinding ,152,5,6,0,N
internal::core::hierarchy::TypeHierarchy ,1119,121,27,1,Y
internal::compiler::lookup::ParameterizedTypeBinding ,866,183,69,2,Y
internal::codeassist::select::SelectionOnArgumentName ,26,14,1,0,N
internal::eval::CodeSnippetTypeDeclaration ,56,22,3,0,N
internal::eval::EvaluationResult ,99,28,2,0,N
internal::core::search::indexing::IndexingParser ,31,2,1,0,N
core::JDTCompilerAdapter ,21,79,30,0,N
internal::codeassist::CompletionRequestorWrapper ,306,6,0,1,Y
internal::core::CreateElementInCUOperation ,142,51,9,0,N
internal::core::dom::rewrite::ListRewriteEvent ,121,10,2,0,N
core::dom::Assignment ,132,38,9,0,N
core::dom::NullLiteral ,31,29,5,0,N
internal::core::JavaElement ,505,155,36,1,Y
internal::formatter::comment::CommentLine ,149,4,1,0,N
internal::codeassist::complete::CompletionOnMessageSend ,41,36,2,0,N
core::dom::ArrayInitializer ,45,26,5,0,N
internal::codeassist::impl::AssistTypeParameter ,7,0,1,0,N
internal::formatter::align::AlignmentException ,21,10,0,0,N
core::CompletionFlags ,6,0,1,0,N
core::compiler::CategorizedProblem ,6,22,4,0,N
internal::compiler::ast::AbstractMethodDeclaration ,314,125,35,0,N
internal::core::util::Messages ,6,25,17,1,Y
internal::core::CreateFieldOperation ,77,41,10,0,N
internal::codeassist::complete::CompletionOnJavadocQualifiedTypeReference ,56,3,3,0,N
internal::codeassist::complete::CompletionOnLocalName ,25,17,2,0,N
core::dom::rewrite::ImportRewrite ,356,15,7,0,N
core::formatter::CodeFormatterApplication ,200,14,6,0,N
internal::core::BecomeWorkingCopyOperation ,38,23,6,0,N
internal::compiler::lookup::UnresolvedAnnotationBinding ,37,3,1,1,Y
core::compiler::batch::BatchCompiler ,6,2,1,0,N
internal::core::util::SimpleDocument ,145,9,0,0,N
internal::core::search::matching::ConstructorPattern ,154,54,15,1,Y
core::dom::RecoveredTypeBinding ,402,11,10,0,N
internal::compiler::ast::CastExpression ,431,155,50,1,Y
internal::core::ClassFileInfo ,149,52,6,1,Y
internal::core::DeltaProcessor ,2116,367,101,2,Y
core::dom::TypeDeclaration ,303,70,18,0,N
internal::compiler::codegen::ConstantPool ,329,79,16,1,Y
core::dom::VariableDeclarationExpression ,156,55,11,0,N
internal::compiler::classfmt::ElementValuePairInfo ,28,3,0,0,N
internal::compiler::util::FloatUtil ,311,3,1,0,N
internal::compiler::lookup::NestedTypeBinding ,115,26,5,1,Y
internal::core::ResolvedSourceField ,23,7,2,0,N
internal::compiler::SourceElementRequestorAdapter ,66,28,15,0,N
internal::codeassist::InternalExtendedCompletionContext ,648,3,4,2,Y
internal::compiler::ast::AbstractVariableDeclaration ,57,41,1,0,N
core::dom::AnnotationTypeMemberDeclaration ,170,32,8,0,N
internal::compiler::parser::TypeConverter ,246,1,2,0,N
internal::core::util::VerificationInfo ,37,3,0,0,N
internal::core::SimpleDelta ,44,5,2,0,N
internal::codeassist::impl::AssistSourceMethod ,44,1,2,0,N
internal::compiler::classfmt::AnnotationMethodInfo ,95,6,0,0,N
internal::core::search::matching::IntersectingPattern ,49,2,2,1,Y
internal::compiler::problem::AbortCompilationUnit ,4,18,4,0,N
internal::codeassist::complete::CompletionOnArgumentName ,27,19,2,0,N
core::NamingConventions ,142,38,9,2,Y
internal::core::OverflowingLRUCache ,233,51,5,0,N
internal::core::SourceMethodElementInfo ,34,28,3,0,N
internal::core::util::FieldInfo ,92,18,1,0,N
internal::formatter::FormatJavadoc ,27,1,3,0,N
internal::compiler::codegen::IntegerCache ,94,31,1,0,N
core::search::PackageReferenceMatch ,3,20,2,1,Y
internal::compiler::parser::RecoveredMethod ,409,83,15,0,N
internal::core::search::matching::MethodPattern ,180,80,23,1,Y
internal::core::eval::EvaluationContextWrapper ,195,76,2,0,N
internal::compiler::flow::InitializationFlowContext ,54,23,0,2,Y
internal::compiler::ast::Assignment ,221,112,28,0,N
internal::compiler::lookup::TypeVariableBinding ,333,113,45,1,Y
internal::core::util::RecordedParsingInformation ,12,8,5,0,N
core::formatter::CodeFormatter ,3,25,13,0,N
internal::compiler::ast::MagicLiteral ,12,17,0,0,N
internal::core::BufferCache ,32,25,3,0,N
internal::compiler::classfmt::AnnotationInfo ,316,6,1,0,N
core::dom::rewrite::ListRewrite ,128,15,3,0,N
internal::formatter::FormatJavadocReference ,10,3,3,0,N
internal::core::CreateInitializerOperation ,59,37,7,0,N
internal::core::dom::rewrite::TokenScanner ,78,14,2,0,N
internal::core::builder::AbortIncrementalBuildException ,3,8,0,0,N
internal::compiler::ReadManager ,153,1,1,2,Y
core::search::SearchMatch ,111,39,13,0,N
core::dom::rewrite::TargetSourceRangeComputer ,11,4,2,0,N
internal::core::index::DiskIndex ,1117,91,40,0,N
internal::core::JarEntryDirectory ,32,2,1,0,N
internal::eval::CodeSnippetReturnStatement ,101,48,3,1,Y
internal::core::util::RuntimeVisibleParameterAnnotationsAttribute ,22,5,0,0,N
internal::compiler::impl::LongConstant ,40,34,1,0,N
internal::compiler::parser::RecoveredType ,468,79,12,0,N
internal::compiler::lookup::SyntheticArgumentBinding ,10,21,4,0,N
core::CompletionRequestor ,79,18,10,0,N
core::search::TypeDeclarationMatch ,3,16,0,0,N
internal::codeassist::select::SelectionOnQualifiedAllocationExpression ,59,37,4,0,N
internal::compiler::ast::EqualExpression ,799,90,21,0,N
internal::core::jdom::CompilationUnit ,30,29,0,0,N
internal::core::search::matching::ConstructorLocator ,222,37,12,1,Y
internal::compiler::parser::RecoveredUnit ,158,46,6,0,N
internal::core::dom::rewrite::LineInformation ,10,3,0,0,N
internal::core::TypeParameterElementInfo ,0,3,0,0,N
internal::eval::CodeSnippetMessageSend ,311,78,12,2,Y
core::dom::EnumDeclaration ,118,34,8,0,N
core::search::LocalVariableDeclarationMatch ,3,16,0,0,N
internal::codeassist::complete::CompletionOnSingleTypeReference ,63,38,5,0,N
core::dom::PostfixExpression ,96,36,8,0,N
internal::core::search::indexing::IndexRequest ,24,30,0,0,N
internal::core::util::AnnotationDefaultAttribute ,7,5,0,0,N
core::dom::TryStatement ,108,37,8,0,N
core::dom::VariableDeclaration ,15,17,3,0,N
internal::codeassist::complete::CompletionOnMethodTypeParameter ,22,11,1,0,N
internal::compiler::ast::MarkerAnnotation ,16,14,2,0,N
internal::compiler::ast::FloatLiteral ,85,24,2,0,N
internal::compiler::ast::WhileStatement ,232,78,15,0,N
internal::formatter::DefaultCodeFormatterOptions ,2140,110,63,2,Y
internal::core::ClasspathValidation ,51,0,0,1,Y
internal::compiler::lookup::ProblemPackageBinding ,6,16,0,0,N
internal::core::search::JavaSearchDocument ,51,19,3,0,N
core::dom::Statement ,48,35,7,0,N
internal::compiler::ast::Statement ,99,58,9,0,N
core::dom::ImportDeclaration ,121,45,10,0,N
internal::codeassist::select::SelectionOnFieldReference ,23,28,1,0,N
internal::core::PackageDeclaration ,30,38,4,0,N
core::dom::CompilationUnitResolver ,282,154,54,0,N
internal::core::TypeVector ,78,24,0,0,N
internal::compiler::ast::FalseLiteral ,38,23,2,0,N
internal::core::SourceRefElementInfo ,15,16,0,0,N
internal::core::SourceFieldElementInfo ,12,20,3,0,N
internal::compiler::ast::ConditionalExpression ,445,117,24,0,N
internal::core::JarEntryFile ,38,31,1,0,N
internal::codeassist::complete::CompletionOnMemberAccess ,38,31,3,0,N
internal::core::util::ExceptionTableEntry ,28,10,0,0,N
internal::compiler::ast::FieldReference ,547,149,43,6,Y
internal::core::CommitWorkingCopyOperation ,141,72,14,0,N
internal::compiler::parser::RecoveredField ,186,46,7,0,N
internal::core::UserLibraryManager ,128,21,6,0,N
internal::core::SourceTypeElementInfo ,193,47,7,0,N
internal::compiler::ast::JavadocAllocationExpression ,142,45,27,0,N
internal::compiler::classfmt::MethodInfo ,392,67,13,0,N
core::JavaCore ,1058,708,172,4,Y
internal::core::util::CodeAttribute ,1081,29,4,1,Y
internal::core::eval::GlobalVariableWrapper ,17,13,0,0,N
internal::compiler::classfmt::ClassFileStruct ,67,40,2,0,N
core::dom::TextElement ,63,22,5,0,N
internal::codeassist::select::SelectionJavadocParser ,123,8,4,0,N
internal::core::BinaryField ,81,44,9,2,Y
internal::core::util::CommentRecorderParser ,193,34,24,1,Y
core::dom::DocCommentParser ,638,47,36,1,Y
internal::compiler::ast::MemberValuePair ,189,40,16,0,N
internal::compiler::impl::Constant ,1500,45,7,0,N
core::dom::MethodInvocation ,137,45,11,0,N
internal::core::util::StackMapTableAttribute ,33,3,1,0,N
internal::core::PackageFragment ,356,103,23,0,N
internal::codeassist::select::SelectionOnQualifiedTypeReference ,38,32,3,0,N
internal::core::search::JavaSearchTypeNameMatch ,35,0,1,0,N
internal::core::search::indexing::IndexManager ,644,197,33,3,Y
internal::core::JarPackageFragment ,127,50,6,0,N
internal::codeassist::impl::AssistImportDeclaration ,7,0,1,0,N
internal::compiler::ast::IntLiteral ,110,30,4,0,N
internal::compiler::parser::Parser ,0,519,173,4,Y
internal::core::builder::State ,560,73,18,1,Y
internal::eval::CodeSnippetEvaluator ,144,39,8,0,N
core::dom::TypeDeclarationStatement ,123,51,12,0,N
internal::compiler::batch::ClasspathJar ,155,56,9,1,Y
internal::core::search::matching::JavaSearchNameEnvironment ,140,31,10,0,N
internal::eval::InstallException ,3,17,0,0,N
internal::core::search::HierarchyScope ,240,55,6,0,N
core::search::TypeNameMatch ,23,9,10,0,N
internal::core::SearchableEnvironmentRequestor ,44,24,7,0,N
internal::compiler::batch::CompilationUnit ,50,38,4,0,N
internal::core::dom::NaiveASTFlattener ,48,0,1,0,N
internal::compiler::lookup::MethodVerifier15 ,747,105,80,8,Y
internal::compiler::parser::RecoveryScannerData ,42,1,1,0,N
internal::core::search::matching::InternalSearchPattern ,64,16,4,1,Y
internal::formatter::DefaultCodeFormatter ,370,87,31,0,N
core::dom::MemberValuePair ,109,31,6,0,N
internal::codeassist::complete::CompletionOnImportReference ,12,25,0,0,N
internal::core::UserLibrary ,141,24,9,0,N
internal::compiler::ast::BinaryExpression ,1782,80,18,0,N
internal::core::builder::ClasspathLocation ,18,25,5,0,N
internal::core::ResolvedSourceType ,26,10,4,0,N
internal::core::DiscardWorkingCopyOperation ,41,12,6,0,N
core::dom::ChildPropertyDescriptor ,18,8,1,0,N
internal::codeassist::impl::AssistOptions ,155,35,8,0,N
internal::compiler::lookup::WildcardBinding ,533,98,28,1,Y
internal::compiler::ast::ArrayAllocationExpression ,142,54,5,0,N
internal::core::search::matching::SecondaryTypeDeclarationPattern ,13,1,1,1,Y
core::dom::EnhancedForStatement ,141,34,5,0,N
internal::core::JavaElementRequestor ,105,16,0,0,N
internal::compiler::lookup::Scope ,2877,449,214,8,Y
core::dom::BindingComparator ,3,30,19,0,N
internal::formatter::AbortFormatting ,4,7,0,0,N
internal::core::util::ResourceCompilationUnit ,15,8,3,0,N
internal::core::CompilationUnitProblemFinder ,57,73,21,0,N
internal::compiler::ast::PostfixExpression ,39,35,0,0,N
internal::compiler::problem::ProblemReporter ,6571,478,194,8,Y
internal::codeassist::complete::CompletionOnKeyword1 ,23,11,2,0,N
internal::compiler::lookup::ClassScope ,1091,238,82,1,Y
internal::core::search::PathCollector ,12,20,1,0,N
internal::compiler::ast::BranchStatement ,39,34,10,0,N
internal::codeassist::complete::CompletionJavadoc ,222,5,1,0,N
internal::formatter::Scribe ,3184,171,102,9,Y
internal::core::MemberElementInfo ,18,21,2,0,N
internal::codeassist::impl::AssistPackageDeclaration ,10,0,1,0,N
core::search::SearchParticipant ,30,38,11,0,N
internal::compiler::problem::AbortType ,3,17,3,0,N
internal::compiler::parser::RecoveredAnnotation ,184,1,2,0,N
internal::core::util::LocalVariableTableEntry ,38,8,0,0,N
internal::compiler::codegen::LongCache ,94,30,1,0,N
internal::core::search::matching::MatchingNodeSet ,149,45,9,0,N
internal::core::search::indexing::SourceIndexerRequestor ,235,62,20,0,N
internal::compiler::ast::QualifiedNameReference ,986,170,48,7,Y
internal::compiler::classfmt::InnerClassInfo ,72,29,3,0,N
internal::codeassist::select::SelectionOnParameterizedQualifiedTypeReference ,43,14,3,0,N
internal::core::search::matching::LocalVariablePattern ,43,33,8,0,N
internal::compiler::codegen::CodeStream ,6017,216,66,3,Y
core::dom::StringLiteral ,166,50,10,1,Y
internal::core::MovePackageFragmentRootOperation ,231,20,3,0,N
internal::compiler::codegen::StackMapFrameCodeStream ,395,28,17,2,Y
internal::formatter::align::Alignment ,270,34,18,0,N
internal::codeassist::complete::InvalidCursorLocation ,3,29,0,0,N
internal::core::search::SubTypeSearchJob ,24,53,2,0,N
internal::core::ChangeClasspathOperation ,63,11,7,0,N
internal::formatter::CascadingMethodInvocationFragmentBuilder ,26,8,4,0,N
internal::core::util::ASTNodeFinder ,129,13,3,0,N
internal::codeassist::complete::CompletionOnParameterizedQualifiedTypeReference ,67,14,2,0,N
core::search::LocalVariableReferenceMatch ,12,20,2,0,N
internal::compiler::parser::diagnose::RangeUtil ,60,13,5,0,N
internal::core::builder::QualifiedNameSet ,44,9,1,0,N
internal::codeassist::CompletionUnitStructureRequestor ,128,1,2,0,N
internal::core::util::InnerClassesAttribute ,21,15,1,0,N
internal::compiler::env::AccessRestriction ,11,15,4,0,N
internal::eval::CodeSnippetThisReference ,75,43,2,0,N
internal::core::PackageFragmentInfo ,25,40,2,0,N
internal::compiler::lookup::ImportConflictBinding ,10,2,1,0,N
core::dom::PrefixExpression ,97,37,8,0,N
internal::compiler::parser::diagnose::LexStream ,212,14,6,0,N
internal::core::search::indexing::AbstractIndexer ,137,55,8,0,N
core::dom::Annotation ,53,20,5,0,N
internal::core::ClasspathAttribute ,21,1,0,0,N
internal::compiler::lookup::BinaryLocalVariableBinding ,7,0,0,0,N
internal::codeassist::complete::CompletionNodeDetector ,29,17,3,0,N
core::dom::IfStatement ,128,40,10,0,N
internal::core::search::matching::QualifiedTypeDeclarationPattern ,100,47,10,1,Y
internal::compiler::ast::LocalDeclaration ,209,92,29,0,N
internal::core::hierarchy::ChangeCollector ,254,10,2,0,N
internal::codeassist::select::SelectionParser ,1189,115,25,1,Y
core::dom::Comment ,24,8,0,0,N
internal::core::search::matching::DeclarationOfAccessedFieldsPattern ,7,29,3,1,Y
internal::codeassist::complete::CompletionOnJavadocFieldReference ,76,5,4,0,N
internal::core::JavaModelCache ,166,37,7,1,Y
internal::compiler::util::HashtableOfPackage ,79,30,1,0,N
internal::core::ResolvedSourceMethod ,23,7,2,0,N
internal::core::Member ,312,59,19,0,N
internal::core::SourceMapper ,909,166,48,1,Y
core::util::OpcodeStringValues ,0,14,2,1,Y
core::formatter::IndentManipulation ,235,6,3,0,N
core::dom::AbstractTypeDeclaration ,61,21,6,0,N
core::dom::SwitchCase ,75,39,9,0,N
internal::compiler::SourceElementParser ,849,123,21,0,N
core::dom::TypeLiteral ,72,36,8,0,N
internal::compiler::ast::StringLiteralConcatenation ,46,5,1,0,N
internal::core::search::PatternSearchJob ,75,71,8,0,N
internal::compiler::ast::DoStatement ,163,72,17,0,N
internal::core::util::Util ,1892,154,68,4,Y
internal::codeassist::select::SelectionNodeFound ,4,25,2,0,N
internal::eval::CodeSnippetSkeleton ,66,52,8,0,N
core::search::TypeNameRequestor ,3,6,3,0,N
internal::core::search::matching::PackageReferenceLocator ,256,64,26,3,Y
internal::core::dom::rewrite::SourceModifier ,18,14,1,0,N
internal::codeassist::complete::CompletionOnMessageSendName ,44,2,2,0,N
internal::compiler::problem::ProblemHandler ,38,42,13,0,N
internal::core::DeltaProcessingState ,419,62,26,1,Y
internal::core::SetClasspathOperation ,44,180,32,1,Y
internal::core::jdom::DOMCompilationUnit ,89,46,5,0,N
internal::core::SetVariablesOperation ,152,7,4,0,N
core::dom::MarkerAnnotation ,54,22,4,0,N
internal::core::search::matching::TypeDeclarationPattern ,240,81,16,1,Y
internal::codeassist::select::SelectionOnSuperReference ,16,27,1,0,N
internal::core::JavaModelManager ,2475,458,141,9,Y
internal::core::BufferManager ,70,44,4,0,N
internal::core::search::matching::ClasspathSourceDirectory ,72,25,7,0,N
internal::core::search::indexing::AddJarFileToIndex ,195,100,5,1,Y
core::dom::SingleVariableDeclaration ,257,64,13,0,N
internal::compiler::ast::SuperReference ,41,38,2,0,N
internal::core::util::ToStringSorter ,42,20,0,0,N
internal::compiler::ast::DoubleLiteral ,85,24,2,0,N
internal::compiler::util::HashtableOfIntValues ,115,6,0,0,N
internal::compiler::classfmt::FieldInfoWithAnnotation ,40,3,0,0,N
internal::compiler::ast::Clinit ,231,72,14,2,Y
internal::codeassist::complete::CompletionOnKeyword2 ,18,13,2,0,N
core::compiler::CompilationProgress ,0,0,1,0,N
internal::core::dom::rewrite::ImportRewriteAnalyzer ,606,10,7,1,Y
internal::compiler::lookup::SyntheticMethodBinding ,166,25,10,2,Y
internal::core::dom::rewrite::NodeInfoStore ,74,13,3,0,N
core::dom::QualifiedName ,110,49,14,0,N
core::dom::SuperConstructorInvocation ,101,39,8,0,N
core::ClasspathVariableInitializer ,3,13,0,0,N
internal::core::ClassFile ,549,164,44,0,N
internal::compiler::util::HashtableOfLong ,74,8,1,0,N
internal::compiler::codegen::BranchLabel ,199,16,9,1,Y
internal::core::util::LocalVariableTypeTableEntry ,38,5,0,0,N
internal::compiler::lookup::AnnotationHolder ,32,3,0,0,N
internal::compiler::ast::CompoundAssignment ,150,74,6,0,N
core::search::TypeParameterReferenceMatch ,4,2,1,0,N
internal::core::ClasspathAccessRule ,27,6,2,0,N
internal::core::CompilationUnit ,830,290,73,1,Y
internal::core::search::matching::SuperTypeNamesCollector ,162,71,14,0,N
internal::core::DocumentAdapter ,12,1,1,0,N
internal::compiler::lookup::MethodVerifier ,736,130,49,3,Y
internal::core::jdom::DOMInitializer ,89,38,4,0,N
internal::codeassist::complete::CompletionOnJavadocTypeParamReference ,17,5,3,0,N
internal::codeassist::complete::CompletionOnQualifiedTypeReference ,63,34,3,0,N
internal::compiler::ast::SingleMemberAnnotation ,34,19,2,0,N
internal::core::util::BindingKeyResolver ,435,55,27,0,N
internal::compiler::ast::CharLiteral ,72,25,1,0,N
internal::codeassist::impl::AssistParser ,1384,112,34,0,N
internal::core::ImportDeclaration ,57,47,7,0,N
internal::core::jdom::SiblingEnumeration ,13,16,1,0,N
internal::codeassist::complete::CompletionOnSingleNameReference ,17,29,3,0,N
internal::core::Initializer ,67,47,7,0,N
core::dom::rewrite::ASTRewrite ,281,46,13,1,Y
internal::core::search::indexing::RemoveFromIndex ,25,46,1,0,N
internal::compiler::ast::NameReference ,34,24,3,0,N
core::dom::EnumConstantDeclaration ,141,38,9,0,N
internal::core::search::matching::FieldLocator ,274,67,24,1,Y
internal::core::SourceField ,120,60,13,0,N
core::dom::DefaultBindingResolver ,1106,188,110,1,Y
internal::compiler::parser::RecoveredLocalVariable ,107,33,2,0,N
internal::codeassist::select::SelectionOnParameterizedSingleTypeReference ,21,3,0,0,N
internal::formatter::comment::JavaDocLine ,15,2,1,0,N
