file,loc,noc,bf,bug,document,topic,topic0,topic1,topic2,topic3,topic4
internal::formatter::BinaryExpressionFragmentBuilder ,42,30,9,0,internal formatter binary expression fragment builder ,1,0,1,0,0,0
internal::core::TypeParameter ,57,15,5,0,internal core type parameter ,4,0,0,0,0,1
internal::core::util::AnnotationComponentValue ,131,13,2,0,internal core util annotation component value ,4,0,0,0,0,1
internal::codeassist::complete::CompletionNodeFound ,3,20,1,0,internal codeassist complete completion node found ,3,0,0,0,1,0
core::dom::Name ,22,23,2,0,core dom name ,1,0,1,0,0,0
internal::formatter::comment::CommentRange ,136,4,2,0,internal formatter comment comment range ,4,0,0,0,0,1
internal::compiler::ast::JavadocImplicitTypeReference ,91,15,9,0,internal compiler ast javadoc implicit type reference ,0,1,0,0,0,0
internal::compiler::util::HashSetOfInt ,94,1,1,0,internal compiler util hash set of int ,1,0,1,0,0,0
internal::core::util::MementoTokenizer ,80,8,2,0,internal core util memento tokenizer ,4,0,0,0,0,1
internal::core::jdom::SimpleDOMBuilder ,104,64,9,0,internal core jdom simple builder ,2,0,0,1,0,0
internal::core::util::DefaultStackMapFrame ,51,3,2,0,internal core util default stack map frame ,1,0,1,0,0,0
internal::formatter::FormatJavadocNode ,27,4,6,0,internal formatter format javadoc node ,4,0,0,0,0,1
internal::core::search::matching::MatchLocatorParser ,681,108,36,0,internal core search matching match locator parser ,4,0,0,0,0,1
core::dom::ParenthesizedExpression ,71,35,8,0,core dom parenthesized expression ,1,0,1,0,0,0
internal::compiler::AbstractAnnotationProcessorManager ,0,9,2,0,internal compiler abstract annotation processor manager ,0,1,0,0,0,0
internal::compiler::lookup::UpdatedMethodBinding ,7,6,0,1,internal compiler lookup updated method binding ,0,1,0,0,0,0
core::dom::ArrayAccess ,109,35,8,0,core dom array access ,1,0,1,0,0,0
internal::codeassist::complete::CompletionOnStringLiteral ,13,1,1,0,internal codeassist complete completion on string literal ,3,0,0,0,1,0
internal::core::hierarchy::RegionBasedTypeHierarchy ,103,37,9,0,internal core hierarchy region based type hierarchy ,2,0,0,1,0,0
internal::core::PackageFragmentRoot ,554,156,39,1,internal core package fragment root ,4,0,0,0,0,1
core::util::CompilationUnitSorter ,19,44,5,0,core util compilation unit sorter ,2,0,0,1,0,0
internal::compiler::ast::Annotation ,357,77,26,1,internal compiler ast annotation ,0,1,0,0,0,0
internal::compiler::ast::JavadocFieldReference ,87,43,22,1,internal compiler ast javadoc field reference ,0,1,0,0,0,0
internal::codeassist::select::SelectionOnSingleNameReference ,40,32,3,0,internal codeassist select selection on single name reference ,0,1,0,0,0,0
internal::core::dom::rewrite::RewriteEventStore ,474,24,6,0,internal core dom rewrite rewrite event store ,3,0,0,0,1,0
internal::compiler::ast::EmptyStatement ,32,27,1,0,internal compiler ast empty statement ,0,1,0,0,0,0
internal::compiler::ClassFile ,6113,225,69,6,internal compiler class file ,0,1,0,0,0,0
internal::core::ClasspathChange ,469,14,11,1,internal core classpath change ,1,0,1,0,0,0
internal::compiler::ast::StringLiteral ,72,37,7,0,internal compiler ast string literal ,0,1,0,0,0,0
core::Signature ,841,126,37,1,core signature ,4,0,0,0,0,1
internal::compiler::classfmt::AnnotationMethodInfoWithAnnotations ,26,1,0,0,internal compiler classfmt annotation method info with annotations ,0,1,0,0,0,0
internal::compiler::parser::RecoveryScanner ,191,7,6,0,internal compiler parser recovery scanner ,0,1,0,0,0,0
core::dom::Type ,24,20,2,0,core dom type ,1,0,1,0,0,0
core::CompletionRequestorAdapter ,42,20,0,0,core completion requestor adapter ,3,0,0,0,1,0
core::compiler::InvalidInputException ,3,24,1,0,core compiler invalid input exception ,2,0,0,1,0,0
internal::core::dom::rewrite::LineCommentEndOffsets ,51,2,3,0,internal core dom rewrite line comment end offsets ,4,0,0,0,0,1
internal::compiler::parser::Scanner ,3449,238,85,1,internal compiler parser scanner ,0,1,0,0,0,0
internal::compiler::ast::Initializer ,81,53,4,0,internal compiler ast initializer ,0,1,0,0,0,0
core::dom::VariableDeclarationStatement ,155,57,11,0,core dom variable declaration statement ,1,0,1,0,0,0
internal::core::search::matching::DeclarationOfReferencedMethodsPattern ,7,30,4,1,internal core search matching declaration of referenced methods pattern ,4,0,0,0,0,1
core::compiler::CharOperation ,845,97,20,0,core compiler char operation ,0,1,0,0,0,0
internal::codeassist::CompletionElementNotifier ,136,0,1,0,internal codeassist completion element notifier ,3,0,0,0,1,0
internal::core::search::indexing::BinaryIndexer ,707,89,17,0,internal core search indexing binary indexer ,4,0,0,0,0,1
internal::compiler::ast::CompilationUnitDeclaration ,536,96,29,2,internal compiler ast compilation unit declaration ,0,1,0,0,0,0
internal::compiler::ast::PrefixExpression ,28,35,1,0,internal compiler ast prefix expression ,0,1,0,0,0,0
core::dom::DefaultValuePairBinding ,20,2,5,0,core dom default value pair binding ,1,0,1,0,0,0
internal::core::search::matching::TypeDeclarationLocator ,69,17,2,1,internal core search matching type declaration locator ,4,0,0,0,0,1
internal::compiler::flow::FlowInfo ,66,42,6,0,internal compiler flow flow info ,2,0,0,1,0,0
core::dom::Block ,47,28,5,0,core dom block ,1,0,1,0,0,0
core::dom::MethodRefParameter ,121,24,5,0,core dom method ref parameter ,1,0,1,0,0,0
internal::core::search::IndexSelector ,145,54,12,1,internal core search index selector ,4,0,0,0,0,1
internal::compiler::ast::Wildcard ,71,27,2,0,internal compiler ast wildcard ,0,1,0,0,0,0
core::dom::ArrayType ,87,38,9,0,core dom array type ,1,0,1,0,0,0
core::search::FieldReferenceMatch ,11,26,3,1,core search field reference match ,4,0,0,0,0,1
core::search::SearchDocument ,16,21,2,1,core search search document ,4,0,0,0,0,1
core::ToolFactory ,63,94,15,0,core tool factory ,2,0,0,1,0,0
internal::core::util::DefaultBytecodeVisitor ,1585,55,9,2,internal core util default bytecode visitor ,1,0,1,0,0,0
core::dom::ThrowStatement ,72,37,8,0,core dom throw statement ,1,0,1,0,0,0
internal::core::search::matching::InternalReferenceMatch ,6,0,1,1,internal core search matching internal reference match ,4,0,0,0,0,1
internal::codeassist::complete::CompletionOnAnnotationMemberValuePair ,32,0,0,0,internal codeassist complete completion on annotation member value pair ,3,0,0,0,1,0
internal::codeassist::ThrownExceptionFinder ,75,2,3,0,internal codeassist thrown exception finder ,2,0,0,1,0,0
internal::core::DefaultWorkingCopyOwner ,10,22,1,0,internal core default working copy owner ,4,0,0,0,0,1
internal::compiler::impl::ByteConstant ,37,34,1,0,internal compiler impl byte constant ,0,1,0,0,0,0
internal::core::AnnotatableInfo ,0,0,1,0,internal core annotatable info ,2,0,0,1,0,0
internal::core::util::ExceptionAttribute ,31,18,3,0,internal core util exception attribute ,1,0,1,0,0,0
core::dom::Initializer ,125,52,11,0,core dom initializer ,1,0,1,0,0,0
internal::codeassist::impl::AssistImportContainer ,10,0,1,0,internal codeassist impl assist import container ,0,1,0,0,0,0
internal::core::MoveElementsOperation ,9,27,2,0,internal core move elements operation ,4,0,0,0,0,1
internal::compiler::parser::RecoveredStatement ,23,29,0,0,internal compiler parser recovered statement ,0,1,0,0,0,0
internal::codeassist::complete::CompletionOnMethodName ,31,14,0,0,internal codeassist complete completion on method name ,3,0,0,0,1,0
core::dom::ClassInstanceCreation ,208,65,14,0,core dom class instance creation ,1,0,1,0,0,0
internal::core::builder::MissingSourceFileException ,3,10,0,0,internal core builder missing source file exception ,4,0,0,0,0,1
internal::compiler::env::EnumConstantSignature ,17,1,0,0,internal compiler env enum constant signature ,0,1,0,0,0,0
internal::compiler::ast::TypeReference ,144,69,16,0,internal compiler ast type reference ,0,1,0,0,0,0
internal::compiler::impl::CompilerStats ,9,1,0,0,internal compiler impl compiler stats ,0,1,0,0,0,0
internal::codeassist::select::SelectionScanner ,31,33,1,0,internal codeassist select selection scanner ,0,1,0,0,0,0
core::dom::PackageDeclaration ,130,47,11,0,core dom package declaration ,1,0,1,0,0,0
internal::compiler::ast::CaseStatement ,96,41,15,0,internal compiler ast case statement ,0,1,0,0,0,0
internal::compiler::ASTVisitor ,9,23,3,0,internal compiler visitor ,0,1,0,0,0,0
internal::compiler::ast::Literal ,25,20,0,0,internal compiler ast literal ,0,1,0,0,0,0
internal::compiler::lookup::ProblemFieldBinding ,9,22,3,0,internal compiler lookup problem field binding ,0,1,0,0,0,0
internal::core::search::matching::PatternLocator ,580,91,44,1,internal core search matching pattern locator ,4,0,0,0,0,1
internal::codeassist::impl::Engine ,230,74,20,1,internal codeassist impl engine ,3,0,0,0,1,0
internal::core::SingleTypeRequestor ,27,14,0,0,internal core single type requestor ,3,0,0,0,1,0
core::dom::ASTConverter ,1947,317,196,1,core dom converter ,1,0,1,0,0,0
internal::compiler::ast::QualifiedAllocationExpression ,414,114,25,1,internal compiler ast qualified allocation expression ,0,1,0,0,0,0
internal::core::search::matching::VariablePattern ,34,19,4,0,internal core search matching variable pattern ,4,0,0,0,0,1
internal::core::search::JavaSearchScope ,289,89,34,1,internal core search java search scope ,2,0,0,1,0,0
internal::compiler::util::SimpleSet ,103,2,0,0,internal compiler util simple set ,1,0,1,0,0,0
internal::core::jdom::DOMMember ,146,36,2,0,internal core jdom member ,2,0,0,1,0,0
internal::core::jdom::DOMMethod ,404,42,6,0,internal core jdom method ,2,0,0,1,0,0
internal::codeassist::select::SelectionOnLocalName ,24,15,2,0,internal codeassist select selection on local name ,0,1,0,0,0,0
internal::compiler::ast::Javadoc ,708,79,48,3,internal compiler ast javadoc ,0,1,0,0,0,0
core::dom::TypeBinding ,952,165,89,1,core dom type binding ,1,0,1,0,0,0
core::search::SearchRequestor ,12,15,1,0,core search search requestor ,4,0,0,0,0,1
core::dom::ContinueStatement ,59,33,6,0,core dom continue statement ,1,0,1,0,0,0
internal::core::builder::AdditionalTypeCollection ,4,8,0,1,internal core builder additional type collection ,2,0,0,1,0,0
core::JavaModelException ,52,37,3,0,core java model exception ,2,0,0,1,0,0
internal::core::builder::StringSet ,56,11,2,0,internal core builder string set ,1,0,1,0,0,0
core::search::PackageDeclarationMatch ,3,16,0,0,core search package declaration match ,4,0,0,0,0,1
internal::core::CreatePackageFragmentOperation ,83,50,9,0,internal core create package fragment operation ,4,0,0,0,0,1
internal::core::util::ClassFileReader ,285,34,5,0,internal core util class file reader ,1,0,1,0,0,0
internal::compiler::ast::ArrayReference ,158,65,10,0,internal compiler ast array reference ,0,1,0,0,0,0
internal::formatter::comment::HTMLEntity2JavaReader ,44,5,4,0,internal formatter comment entity java reader ,2,0,0,1,0,0
internal::core::BinaryMethod ,529,120,31,1,internal core binary method ,1,0,1,0,0,0
internal::core::search::matching::ImportMatchLocatorParser ,28,5,2,0,internal core search matching import match locator parser ,4,0,0,0,0,1
core::dom::MethodRef ,109,23,3,0,core dom method ref ,1,0,1,0,0,0
internal::core::util::ReferenceInfoAdapter ,18,19,1,0,internal core util reference info adapter ,3,0,0,0,1,0
internal::core::RenameResourceElementsOperation ,28,30,2,0,internal core rename resource elements operation ,4,0,0,0,0,1
core::dom::ASTMatcher ,52,65,11,0,core dom matcher ,1,0,1,0,0,0
core::WorkingCopyOwner ,17,32,3,0,core working copy owner ,4,0,0,0,0,1
core::compiler::ReconcileContext ,44,12,4,0,core compiler reconcile context ,2,0,0,1,0,0
core::ClasspathContainerInitializer ,69,42,4,0,core classpath container initializer ,1,0,1,0,0,0
internal::core::Annotation ,56,0,1,1,internal core annotation ,4,0,0,0,0,1
internal::core::jdom::AbstractDOMBuilder ,82,27,2,0,internal core jdom abstract builder ,2,0,0,1,0,0
internal::eval::Evaluator ,104,48,9,0,internal eval evaluator ,3,0,0,0,1,0
internal::formatter::comment::JavaDocRegion ,231,13,6,0,internal formatter comment java doc region ,4,0,0,0,0,1
core::dom::VariableBinding ,232,70,32,0,core dom variable binding ,1,0,1,0,0,0
internal::compiler::problem::DefaultProblem ,164,63,11,0,internal compiler problem default problem ,0,1,0,0,0,0
core::util::ClassFormatException ,3,25,0,0,core util class format exception ,1,0,1,0,0,0
internal::core::builder::IncrementalImageBuilder ,706,123,39,1,internal core builder incremental image builder ,2,0,0,1,0,0
internal::codeassist::select::SelectionOnNameOfMemberValuePair ,17,3,0,0,internal codeassist select selection on name of member value pair ,0,1,0,0,0,0
internal::core::SourceRefElement ,171,63,15,0,internal core source ref element ,4,0,0,0,0,1
internal::codeassist::select::SelectionOnQualifiedSuperReference ,16,27,1,0,internal codeassist select selection on qualified super reference ,0,1,0,0,0,0
internal::core::NonJavaResource ,77,0,1,0,internal core non java resource ,2,0,0,1,0,0
internal::core::hierarchy::HierarchyBinaryType ,154,48,6,0,internal core hierarchy hierarchy binary type ,2,0,0,1,0,0
internal::codeassist::complete::CompletionOnFieldName ,20,19,2,0,internal codeassist complete completion on field name ,3,0,0,0,1,0
internal::compiler::impl::FloatConstant ,36,36,1,0,internal compiler impl float constant ,0,1,0,0,0,0
internal::compiler::codegen::FloatCache ,88,29,1,0,internal compiler codegen float cache ,0,1,0,0,0,0
internal::compiler::parser::SourceTypeConverter ,209,81,28,0,internal compiler parser source type converter ,0,1,0,0,0,0
internal::core::search::matching::ClassFileMatchLocator ,462,55,15,1,internal core search matching class file match locator ,4,0,0,0,0,1
internal::core::VerboseElementCache ,27,1,0,0,internal core verbose element cache ,2,0,0,1,0,0
internal::core::BinaryTypeConverter ,216,19,8,0,internal core binary type converter ,1,0,1,0,0,0
internal::compiler::util::CompoundNameVector ,50,12,1,0,internal compiler util compound name vector ,0,1,0,0,0,0
core::dom::PackageBinding ,155,45,18,0,core dom package binding ,1,0,1,0,0,0
internal::formatter::comment::MultiCommentLine ,276,4,2,0,internal formatter comment multi comment line ,4,0,0,0,0,1
internal::core::JavaCorePreferenceInitializer ,73,45,22,0,internal core java core preference initializer ,2,0,0,1,0,0
internal::compiler::codegen::VerificationTypeInfo ,156,7,4,0,internal compiler codegen verification type info ,0,1,0,0,0,0
internal::compiler::ast::QualifiedThisReference ,76,51,4,0,internal compiler ast qualified this reference ,0,1,0,0,0,0
internal::codeassist::complete::CompletionOnJavadocParamNameReference ,17,5,7,0,internal codeassist complete completion on javadoc param name reference ,3,0,0,0,1,0
core::dom::MethodBinding ,290,107,59,0,core dom method binding ,1,0,1,0,0,0
internal::compiler::ast::ConstructorDeclaration ,437,122,40,3,internal compiler ast constructor declaration ,0,1,0,0,0,0
internal::core::CreateCompilationUnitOperation ,87,50,10,0,internal core create compilation unit operation ,2,0,0,1,0,0
core::CorrectionEngine ,128,59,6,1,core correction engine ,1,0,1,0,0,0
internal::core::search::matching::VariableLocator ,36,11,2,1,internal core search matching variable locator ,4,0,0,0,0,1
internal::compiler::batch::ClasspathDirectory ,136,60,9,0,internal compiler batch classpath directory ,0,1,0,0,0,0
internal::core::index::MemoryIndex ,99,20,2,0,internal core index memory index ,4,0,0,0,0,1
internal::compiler::ast::SwitchStatement ,334,94,19,1,internal compiler ast switch statement ,0,1,0,0,0,0
internal::core::search::indexing::InternalSearchDocument ,16,13,4,1,internal core search indexing internal search document ,4,0,0,0,0,1
core::dom::BindingResolver ,105,62,23,0,core dom binding resolver ,1,0,1,0,0,0
internal::compiler::codegen::StackMapFrame ,325,11,8,0,internal compiler codegen stack map frame ,1,0,1,0,0,0
internal::core::AnnotationInfo ,0,1,1,0,internal core annotation info ,4,0,0,0,0,1
internal::compiler::classfmt::ClassFormatException ,29,24,2,0,internal compiler classfmt class format exception ,0,1,0,0,0,0
internal::core::builder::ClasspathDirectory ,101,39,6,0,internal core builder classpath directory ,1,0,1,0,0,0
internal::compiler::classfmt::MethodInfoWithParameterAnnotations ,35,1,0,0,internal compiler classfmt method info with parameter annotations ,0,1,0,0,0,0
internal::core::builder::ClasspathMultiDirectory ,33,27,3,0,internal core builder classpath multi directory ,1,0,1,0,0,0
internal::compiler::lookup::TypeBinding ,773,143,56,3,internal compiler lookup type binding ,0,1,0,0,0,0
internal::compiler::flow::LabelFlowContext ,23,33,3,0,internal compiler flow label flow context ,2,0,0,1,0,0
internal::compiler::ast::AssertStatement ,163,68,9,2,internal compiler ast assert statement ,0,1,0,0,0,0
internal::core::search::matching::TypeReferencePattern ,54,99,21,1,internal core search matching type reference pattern ,4,0,0,0,0,1
core::search::TypeNameMatchRequestor ,0,2,3,0,core search type name match requestor ,4,0,0,0,0,1
internal::codeassist::select::SelectionOnPackageReference ,11,27,0,0,internal codeassist select selection on package reference ,0,1,0,0,0,0
core::BindingKey ,82,25,7,0,core binding key ,1,0,1,0,0,0
internal::compiler::ast::JavadocReturnStatement ,29,24,13,0,internal compiler ast javadoc return statement ,0,1,0,0,0,0
internal::eval::CodeSnippetAllocationExpression ,184,55,13,1,internal eval code snippet allocation expression ,3,0,0,0,1,0
internal::compiler::env::AccessRule ,39,5,2,0,internal compiler env access rule ,0,1,0,0,0,0
internal::core::jdom::DOMBuilder ,368,45,10,0,internal core jdom builder ,2,0,0,1,0,0
internal::core::search::matching::TypeParameterPattern ,61,10,6,0,internal core search matching type parameter pattern ,4,0,0,0,0,1
internal::core::util::InnerClassesAttributeEntry ,49,10,0,0,internal core util inner classes attribute entry ,1,0,1,0,0,0
core::dom::ASTSyntaxErrorPropagator ,62,22,6,0,core dom syntax error propagator ,1,0,1,0,0,0
internal::codeassist::complete::CompletionOnFieldType ,14,20,1,0,internal codeassist complete completion on field type ,3,0,0,0,1,0
internal::codeassist::select::SelectionOnExplicitConstructorCall ,34,29,1,0,internal codeassist select selection on explicit constructor call ,0,1,0,0,0,0
internal::core::util::HandleFactory ,200,59,20,0,internal core util handle factory ,1,0,1,0,0,0
internal::core::dom::rewrite::TrackedNodePosition ,24,8,2,0,internal core dom rewrite tracked node position ,4,0,0,0,0,1
internal::compiler::util::SimpleSetOfCharArray ,103,5,6,0,internal compiler util simple set of char array ,1,0,1,0,0,0
internal::core::dom::rewrite::ASTRewriteAnalyzer ,907,67,28,2,internal core dom rewrite rewrite analyzer ,3,0,0,0,1,0
internal::compiler::ast::ReturnStatement ,217,83,26,1,internal compiler ast return statement ,0,1,0,0,0,0
core::search::MethodDeclarationMatch ,3,16,0,0,core search method declaration match ,4,0,0,0,0,1
internal::core::util::LocalVariableAttribute ,21,14,0,0,internal core util local variable attribute ,1,0,1,0,0,0
internal::core::builder::NameEnvironment ,271,68,14,0,internal core builder name environment ,2,0,0,1,0,0
core::dom::ParameterizedType ,88,38,6,0,core dom parameterized type ,1,0,1,0,0,0
internal::formatter::comment::Java2HTMLEntityReader ,50,8,4,0,internal formatter comment java entity reader ,2,0,0,1,0,0
internal::core::BufferFactoryWrapper ,23,15,0,0,internal core buffer factory wrapper ,1,0,1,0,0,0
internal::core::NameLookup ,691,143,35,0,internal core name lookup ,0,1,0,0,0,0
internal::codeassist::complete::CompletionOnJavadocTag ,115,5,3,1,internal codeassist complete completion on javadoc tag ,3,0,0,0,1,0
internal::compiler::util::HashtableOfObject ,122,38,1,0,internal compiler util hashtable of object ,3,0,0,0,1,0
internal::compiler::ast::ParameterizedQualifiedTypeReference ,296,84,32,1,internal compiler ast parameterized qualified type reference ,0,1,0,0,0,0
internal::eval::EvaluationContext ,332,74,16,0,internal eval evaluation context ,3,0,0,0,1,0
internal::compiler::ast::ContinueStatement ,75,13,6,0,internal compiler ast continue statement ,0,1,0,0,0,0
internal::compiler::ast::ThrowStatement ,44,48,3,0,internal compiler ast throw statement ,0,1,0,0,0,0
internal::core::SourceType ,480,172,36,0,internal core source type ,4,0,0,0,0,1
internal::core::util::StackMapFrame ,127,7,1,0,internal core util stack map frame ,1,0,1,0,0,0
core::CheckDebugAttributes ,50,15,3,0,core check debug attributes ,1,0,1,0,0,0
internal::core::ClasspathEntry ,1340,127,36,4,internal core classpath entry ,4,0,0,0,0,1
internal::core::jdom::DOMPackage ,50,33,3,0,internal core jdom package ,2,0,0,1,0,0
internal::core::search::matching::PackageReferencePattern ,40,82,11,1,internal core search matching package reference pattern ,4,0,0,0,0,1
internal::core::JavaProjectElementInfo ,251,68,25,1,internal core java project element info ,2,0,0,1,0,0
internal::core::SourceAnnotationMethodInfo ,3,7,3,0,internal core source annotation method info ,4,0,0,0,0,1
internal::compiler::ast::ExtendedStringLiteral ,29,32,3,0,internal compiler ast extended string literal ,0,1,0,0,0,0
internal::core::builder::WorkQueue ,28,14,0,0,internal core builder work queue ,2,0,0,1,0,0
internal::core::SourceConstructorInfo ,13,3,0,0,internal core source constructor info ,4,0,0,0,0,1
internal::compiler::ast::ArrayQualifiedTypeReference ,62,48,4,0,internal compiler ast array qualified type reference ,0,1,0,0,0,0
internal::compiler::DocumentElementParser ,1200,73,9,0,internal compiler document element parser ,0,1,0,0,0,0
internal::core::builder::ImageBuilderInternalException ,15,14,1,0,internal core builder image builder internal exception ,2,0,0,1,0,0
internal::codeassist::complete::CompletionOnJavadocSingleTypeReference ,55,3,3,0,internal codeassist complete completion on javadoc single type reference ,3,0,0,0,1,0
internal::compiler::ast::OperatorExpression ,1520,47,4,0,internal compiler ast operator expression ,0,1,0,0,0,0
internal::core::search::TypeNameRequestorWrapper ,6,8,5,0,internal core search type name requestor wrapper ,3,0,0,0,1,0
internal::codeassist::impl::AssistAnnotation ,7,0,1,0,internal codeassist impl assist annotation ,0,1,0,0,0,0
core::dom::ArrayCreation ,110,44,9,0,core dom array creation ,1,0,1,0,0,0
internal::core::CompilationUnitStructureRequestor ,525,93,22,1,internal core compilation unit structure requestor ,2,0,0,1,0,0
internal::compiler::ast::JavadocSingleTypeReference ,66,39,26,0,internal compiler ast javadoc single type reference ,0,1,0,0,0,0
internal::core::builder::BatchImageBuilder ,269,93,28,1,internal core builder batch image builder ,2,0,0,1,0,0
internal::compiler::parser::AbstractCommentParser ,1399,104,81,7,internal compiler parser abstract comment parser ,0,1,0,0,0,0
internal::core::ResolvedBinaryField ,23,5,1,0,internal core resolved binary field ,1,0,1,0,0,0
internal::core::index::Index ,134,45,18,1,internal core index index ,4,0,0,0,0,1
internal::core::ExternalFoldersManager ,192,7,4,3,internal core external folders manager ,2,0,0,1,0,0
core::dom::BooleanLiteral ,52,27,5,0,core dom boolean literal ,1,0,1,0,0,0
internal::core::util::Disassembler ,629,131,33,1,internal core util disassembler ,1,0,1,0,0,0
internal::core::util::DOMFinder ,28,5,3,0,internal core util finder ,2,0,0,1,0,0
internal::compiler::lookup::VariableBinding ,35,40,3,0,internal compiler lookup variable binding ,0,1,0,0,0,0
internal::core::util::CodeSnippetParsingUtil ,152,23,13,0,internal core util code snippet parsing util ,1,0,1,0,0,0
internal::core::search::indexing::ReadWriteMonitor ,52,26,0,0,internal core search indexing read write monitor ,4,0,0,0,0,1
internal::core::JavaProject ,1607,468,128,4,internal core java project ,2,0,0,1,0,0
internal::compiler::flow::ExceptionHandlingFlowContext ,139,55,11,2,internal compiler flow exception handling flow context ,2,0,0,1,0,0
internal::core::search::matching::TypeReferenceLocator ,343,83,40,2,internal core search matching type reference locator ,4,0,0,0,0,1
internal::core::JavaModelStatus ,286,54,15,0,internal core java model status ,2,0,0,1,0,0
core::dom::CatchClause ,107,38,8,0,core dom catch clause ,1,0,1,0,0,0
internal::compiler::ast::JavadocArraySingleTypeReference ,14,15,6,0,internal compiler ast javadoc array single type reference ,0,1,0,0,0,0
internal::core::CreateMethodOperation ,64,39,9,0,internal core create method operation ,4,0,0,0,0,1
internal::core::Buffer ,275,72,14,0,internal core buffer ,1,0,1,0,0,0
internal::core::search::matching::TypeParameterLocator ,57,1,1,1,internal core search matching type parameter locator ,4,0,0,0,0,1
internal::compiler::batch::ClasspathLocation ,15,13,7,0,internal compiler batch classpath location ,0,1,0,0,0,0
internal::core::MemberValuePair ,26,0,1,0,internal core member value pair ,1,0,1,0,0,0
core::dom::ConstructorInvocation ,76,34,7,0,core dom constructor invocation ,1,0,1,0,0,0
internal::formatter::comment::CommentRegion ,269,6,4,0,internal formatter comment comment region ,4,0,0,0,0,1
internal::compiler::util::HashtableOfObjectToIntArray ,117,2,1,0,internal compiler util hashtable of object to int array ,3,0,0,0,1,0
internal::core::search::indexing::RemoveFolderFromIndex ,49,40,6,0,internal core search indexing remove folder from index ,4,0,0,0,0,1
internal::codeassist::SelectionEngine ,1189,175,56,1,internal codeassist selection engine ,3,0,0,0,1,0
internal::compiler::lookup::ImportBinding ,21,31,1,0,internal compiler lookup import binding ,0,1,0,0,0,0
core::compiler::BuildContext ,56,5,3,0,core compiler build context ,2,0,0,1,0,0
internal::core::search::matching::PackageDeclarationLocator ,11,6,0,0,internal core search matching package declaration locator ,4,0,0,0,0,1
internal::compiler::codegen::ExceptionLabel ,58,24,6,1,internal compiler codegen exception label ,2,0,0,1,0,0
internal::eval::CodeSnippetFieldReference ,336,55,6,0,internal eval code snippet field reference ,3,0,0,0,1,0
internal::compiler::lookup::ElementValuePair ,28,8,5,0,internal compiler lookup element value pair ,0,1,0,0,0,0
internal::core::JarPackageFragmentInfo ,3,19,1,0,internal core jar package fragment info ,4,0,0,0,0,1
internal::core::CancelableNameEnvironment ,23,9,6,1,internal core cancelable name environment ,3,0,0,0,1,0
internal::compiler::parser::RecoveredElement ,172,42,3,0,internal compiler parser recovered element ,0,1,0,0,0,0
internal::core::UserLibraryClasspathContainer ,35,11,3,0,internal core user library classpath container ,1,0,1,0,0,0
internal::compiler::problem::DefaultProblemFactory ,126,61,19,0,internal compiler problem default problem factory ,0,1,0,0,0,0
core::search::TypeReferenceMatch ,16,30,6,2,core search type reference match ,4,0,0,0,0,1
internal::compiler::ast::JavadocMessageSend ,174,48,28,0,internal compiler ast javadoc message send ,0,1,0,0,0,0
internal::compiler::lookup::BaseTypeBinding ,163,34,2,0,internal compiler lookup base type binding ,0,1,0,0,0,0
core::dom::WildcardType ,80,28,4,0,core dom wildcard type ,1,0,1,0,0,0
internal::core::util::RuntimeInvisibleParameterAnnotationsAttribute ,22,5,0,0,internal core util runtime invisible parameter annotations attribute ,4,0,0,0,0,1
internal::core::UserLibraryClasspathContainerInitializer ,52,14,3,0,internal core user library classpath container initializer ,1,0,1,0,0,0
core::dom::AST ,804,209,66,0,core dom ,1,0,1,0,0,0
internal::codeassist::UnresolvedReferenceNameFinder ,321,10,7,0,internal codeassist unresolved reference name finder ,3,0,0,0,1,0
internal::codeassist::complete::CompletionOnAnnotationOfType ,10,4,3,0,internal codeassist complete completion on annotation of type ,3,0,0,0,1,0
internal::core::util::HashSetOfCharArrayArray ,118,0,1,0,internal core util hash set of char array array ,1,0,1,0,0,0
internal::compiler::ast::LongLiteral ,128,33,5,0,internal compiler ast long literal ,0,1,0,0,0,0
internal::compiler::util::HashtableOfType ,79,30,1,0,internal compiler util hashtable of type ,0,1,0,0,0,0
internal::compiler::ast::ClassLiteralAccess ,72,72,9,0,internal compiler ast class literal access ,0,1,0,0,0,0
core::dom::NumberLiteral ,97,44,7,0,core dom number literal ,1,0,1,0,0,0
internal::core::util::CharArrayBuffer ,35,21,1,0,internal core util char array buffer ,1,0,1,0,0,0
internal::formatter::OptimizedReplaceEdit ,8,5,1,0,internal formatter optimized replace edit ,0,1,0,0,0,0
internal::core::JavaCorePreferenceModifyListener ,29,1,1,0,internal core java core preference modify listener ,2,0,0,1,0,0
internal::core::search::matching::FieldPattern ,63,40,11,1,internal core search matching field pattern ,4,0,0,0,0,1
internal::core::builder::NameSet ,41,9,1,0,internal core builder name set ,2,0,0,1,0,0
internal::core::ExternalJavaProject ,29,5,4,0,internal core external java project ,2,0,0,1,0,0
core::search::SearchEngine ,54,182,41,0,core search search engine ,4,0,0,0,0,1
internal::compiler::ConfigurableOption ,117,40,4,0,internal compiler configurable option ,0,1,0,0,0,0
internal::compiler::lookup::SyntheticFieldBinding ,5,16,1,0,internal compiler lookup synthetic field binding ,0,1,0,0,0,0
internal::compiler::impl::BooleanConstant ,19,40,5,0,internal compiler impl boolean constant ,0,1,0,0,0,0
